Customer_ID,Age,Gender,Subscription_Length,Region,Payment_Method,Support_Tickets_Raised,Satisfaction_Score,Discount_Offered,Last_Activity,Monthly_Spend,Churned
CUST000073,21.0,Female,10,East,Credit Card,1,8.0,14.66,330,49.36,True
CUST000074,46.0,Female,29,West,PayPal,4,5.0,15.83,16,43.7,False
CUST000075,35.0,Female,54,East,Credit Card,1,3.0,15.74,4,50.17,True
CUST000076,43.0,Male,16,South,Credit Card,1,5.0,15.85,266,45.62,False
CUST000077,61.0,Female,36,North,PayPal,0,5.0,7.54,48,45.65,False
CUST000078,51.0,Female,20,North,Credit Card,0,6.0,9.73,223,55.25,False
CUST000079,27.0,Female,45,East,Credit Card,1,7.0,17.66,204,58.73,False
CUST000080,43.0,Male,54,West,Debit Card,4,2.0,18.48,20,45.46,True
CUST000081,31.0,Male,37,East,PayPal,1,6.0,9.19,288,47.95,False
CUST000082,48.0,Female,22,South,PayPal,1,9.0,5.35,194,48.51,False
CUST000083,65.0,Male,7,West,Debit Card,1,2.0,17.9,316,36.23,True
CUST000084,32.0,Male,23,West,Debit Card,1,8.0,10.66,11,52.89,False
CUST000085,25.0,Male,41,East,Credit Card,1,3.0,9.94,20,44.66,True
CUST000086,31.0,Female,40,South,Credit Card,0,4.0,10.2,279,45.0,False
CUST000087,40.0,Female,29,West,Credit Card,1,2.0,11.24,333,38.88,True
CUST000088,57.0,Male,16,North,Debit Card,1,9.0,10.67,35,53.08,False
CUST000089,38.0,Female,38,South,PayPal,3,6.0,13.5,266,51.09,False
CUST000090,33.0,Female,28,West,Credit Card,5,9.0,6.18,232,46.58,True
CUST000091,62.0,Male,48,East,Debit Card,7,8.0,19.57,38,56.8,True
CUST000092,35.0,Male,38,West,PayPal,5,9.0,19.05,83,59.22,True
CUST000093,64.0,Female,31,North,Debit Card,0,5.0,19.02,32,51.34,False
CUST000094,41.0,Male,14,South,Credit Card,3,6.0,18.19,54,43.24,False
CUST000095,43.0,Female,53,West,Debit Card,4,7.0,14.9,225,56.88,False
CUST000096,42.0,Female,33,North,Debit Card,1,5.0,8.32,313,46.41,True
CUST000097,62.0,Male,57,West,Debit Card,1,1.0,5.74,107,41.13,True
CUST000098,58.0,Female,9,West,Debit Card,4,9.0,6.49,25,42.45,False
CUST000099,46.0,Female,57,South,PayPal,1,2.0,9.86,45,46.81,True
CUST000100,32.0,Male,27,East,Credit Card,0,7.0,12.56,118,51.11,False
CUST000101,62.0,Male,24,East,PayPal,1,8.0,19.9,294,56.35,False
CUST000102,18.0,Male,13,North,Debit Card,2,8.0,11.53,125,48.82,False
CUST000103,42.0,Female,26,North,Debit Card,0,1.0,12.87,36,35.08,True
CUST000104,24.0,Male,29,North,Credit Card,3,10.0,15.43,344,58.72,True
CUST000105,26.0,Male,51,South,Credit Card,2,7.0,7.71,167,54.05,False
CUST000106,41.0,Male,49,East,PayPal,5,9.0,18.99,269,60.51,True
CUST000107,18.0,Male,43,North,PayPal,3,3.0,12.94,194,43.78,True
CUST000108,61.0,Female,28,North,Credit Card,3,8.0,9.14,124,48.6,False
CUST000109,25.0,Female,28,West,PayPal,1,8.0,19.03,271,55.54,False
CUST000110,41.0,Male,8,West,Debit Card,2,9.0,14.38,58,47.91,False
CUST000111,28.0,Female,23,North,Debit Card,4,8.0,12.26,59,49.46,False
CUST000112,68.0,Male,29,West,Credit Card,2,5.0,13.7,308,45.28,True
CUST000113,34.0,Male,5,West,PayPal,1,5.0,16.22,217,41.48,False
CUST000114,25.0,Female,42,West,Debit Card,2,3.0,7.32,69,40.87,True
CUST000115,52.0,Female,7,South,Credit Card,5,6.0,17.97,244,38.92,True
CUST000116,52.0,Male,42,North,PayPal,3,6.0,19.39,103,64.35,False
CUST000117,50.0,Male,36,North,Debit Card,1,6.0,13.5,5,44.18,True
CUST000118,22.0,Female,41,West,PayPal,4,2.0,15.23,299,39.88,True
CUST000119,59.0,Male,27,South,PayPal,0,7.0,17.9,264,54.85,False
CUST000120,56.0,Female,58,West,PayPal,2,10.0,10.62,241,64.35,False
CUST000121,58.0,Male,46,South,Credit Card,2,3.0,19.89,334,49.91,True
CUST000122,45.0,Male,2,North,Debit Card,2,4.0,15.21,349,37.1,True
CUST000123,24.0,Female,25,West,Credit Card,5,10.0,11.36,222,52.94,True
CUST000124,26.0,Female,9,North,Debit Card,1,8.0,15.16,319,48.71,True
CUST000125,25.0,Female,53,South,Debit Card,1,1.0,12.83,229,43.67,True
CUST000126,29.0,Female,27,East,Credit Card,1,9.0,6.67,32,54.3,False
CUST000127,51.0,Female,1,South,Credit Card,1,6.0,16.94,353,43.85,True
CUST000128,43.0,Female,23,East,Debit Card,2,2.0,13.47,24,38.23,True
CUST000129,65.0,Female,10,North,Debit Card,3,3.0,16.94,306,34.59,True
CUST000130,40.0,Male,42,North,Debit Card,3,5.0,7.32,187,44.29,False
CUST000131,41.0,Male,52,West,PayPal,2,6.0,13.08,128,54.87,False
CUST000132,54.0,Male,25,East,Debit Card,1,9.0,16.5,112,57.46,False
CUST000133,52.0,Female,54,South,Credit Card,1,2.0,19.82,294,49.77,True
CUST000134,61.0,Female,3,North,Credit Card,4,6.0,18.27,149,37.35,False
CUST000135,57.0,Female,6,East,Credit Card,2,7.0,17.97,151,47.15,False
CUST000136,39.0,Male,58,South,Debit Card,1,7.0,8.71,174,57.96,False
CUST000137,43.0,Female,6,East,Debit Card,1,4.0,17.57,197,38.17,False
CUST000138,52.0,Female,53,South,PayPal,5,3.0,7.54,255,40.07,True
CUST000139,18.0,Male,2,South,PayPal,1,8.0,7.97,168,43.63,False
CUST000140,43.0,Female,58,South,Credit Card,2,2.0,6.65,82,46.33,True
CUST000141,54.0,Male,58,South,PayPal,4,5.0,17.86,70,53.05,False
CUST000142,64.0,Male,18,East,PayPal,2,10.0,6.62,325,51.0,True
CUST000143,31.0,Female,23,East,Credit Card,2,5.0,7.07,13,42.94,False
CUST000144,20.0,Female,2,West,Debit Card,1,1.0,8.69,119,25.76,True
CUST000145,18.0,Female,12,East,PayPal,1,7.0,13.59,212,47.15,False
CUST000146,22.0,Male,22,East,Debit Card,1,4.0,18.2,102,46.38,False
CUST000147,43.0,Male,37,West,Credit Card,2,10.0,11.27,277,58.38,False
CUST000148,31.0,Male,20,East,Credit Card,2,2.0,13.19,196,34.89,True
CUST000149,56.0,Female,39,South,PayPal,0,8.0,7.5,77,54.97,False
CUST000150,43.0,Female,24,North,Credit Card,3,4.0,8.99,338,36.58,True
CUST000151,26.0,Female,48,North,Credit Card,3,1.0,7.01,333,38.37,True
CUST000152,32.0,Female,20,West,Credit Card,1,8.0,11.15,205,49.79,False
CUST000153,32.0,Male,1,East,PayPal,3,7.0,13.86,229,40.25,False
CUST000154,43.0,Male,1,East,PayPal,4,3.0,9.26,189,27.19,True
CUST000155,59.0,Male,17,West,PayPal,4,3.0,17.69,99,37.57,True
CUST000156,30.0,Male,59,North,Credit Card,2,7.0,19.72,218,62.77,False
CUST000157,43.0,Female,1,South,Debit Card,1,2.0,6.8,194,26.71,True
CUST000158,49.0,Female,53,East,Credit Card,0,5.0,5.27,43,51.44,False
CUST000159,56.0,Female,52,West,PayPal,3,7.0,16.85,124,58.74,False
CUST000160,66.0,Male,45,South,Debit Card,2,6.0,7.86,20,50.01,False
CUST000161,69.0,Male,30,West,Debit Card,0,10.0,10.3,311,58.92,True
CUST000162,49.0,Female,41,West,PayPal,5,7.0,10.91,330,50.27,True
CUST000163,21.0,Female,47,West,Debit Card,4,2.0,18.75,328,43.5,True
CUST000164,47.0,Male,3,North,Debit Card,1,7.0,14.88,168,46.25,False
CUST000165,54.0,Female,46,North,PayPal,4,2.0,5.61,46,36.05,True
CUST000166,40.0,Male,55,West,Debit Card,3,7.0,5.22,223,52.23,False
CUST000167,56.0,Male,11,East,Debit Card,4,8.0,7.99,79,41.59,False
CUST000168,62.0,Male,24,South,PayPal,3,10.0,9.77,170,53.25,False
CUST000169,32.0,Female,22,East,Debit Card,1,8.0,12.27,246,51.54,False
CUST000170,60.0,Female,44,North,Debit Card,3,5.0,17.57,271,49.56,False
CUST000171,46.0,Male,45,South,Debit Card,2,7.0,9.72,99,53.56,False
CUST000172,53.0,Female,26,West,Debit Card,2,8.0,10.65,322,51.29,True
CUST000173,30.0,Male,13,East,PayPal,2,4.0,9.94,141,35.0,False
CUST000174,49.0,Male,1,East,Credit Card,1,2.0,5.13,109,26.14,True
CUST000175,43.0,Male,24,West,Credit Card,5,7.0,19.33,313,48.93,True
CUST000176,68.0,Male,10,East,Debit Card,4,1.0,7.08,137,23.15,True
CUST000177,39.0,Female,35,North,PayPal,1,2.0,9.32,121,38.64,True
CUST000178,45.0,Male,24,West,PayPal,3,10.0,6.94,99,53.16,False
CUST000179,19.0,Male,28,East,Debit Card,3,7.0,12.36,66,50.28,False
CUST000180,59.0,Female,36,West,Credit Card,4,10.0,18.98,144,60.93,False
CUST000181,62.0,Male,16,South,Debit Card,1,1.0,6.51,110,29.19,True
CUST000182,23.0,Male,40,West,PayPal,1,7.0,11.61,130,53.6,False
CUST000183,45.0,Female,16,East,PayPal,2,5.0,5.34,328,38.48,True
CUST000184,45.0,Female,59,North,Credit Card,1,3.0,16.56,257,53.41,True
CUST000185,61.0,Female,17,West,PayPal,1,2.0,14.62,210,35.05,True
CUST000186,61.0,Male,51,West,PayPal,0,7.0,15.5,246,61.46,False
CUST000187,37.0,Female,54,East,PayPal,2,9.0,12.09,361,61.74,True
CUST000188,47.0,Female,15,North,Credit Card,2,9.0,18.61,154,53.05,False
CUST000189,43.0,Male,16,North,PayPal,1,10.0,11.14,133,54.02,False
CUST000190,45.0,Male,15,South,Debit Card,1,10.0,12.71,21,55.65,False
CUST000191,42.0,Male,57,South,Credit Card,3,8.0,15.43,35,61.52,False
CUST000192,56.0,Male,34,East,Debit Card,2,2.0,12.81,360,39.49,True
CUST000193,43.0,Male,11,North,Debit Card,1,1.0,7.84,310,28.87,True
CUST000194,18.0,Female,1,North,Credit Card,1,8.0,9.76,224,44.45,False
CUST000195,44.0,Female,15,South,Debit Card,1,2.0,6.38,124,31.38,True
CUST000196,43.0,Female,26,South,Credit Card,2,4.0,11.49,240,41.78,False
CUST000197,30.0,Male,51,East,Debit Card,4,4.0,14.14,364,46.91,True
CUST000198,58.0,Male,4,North,Credit Card,1,2.0,6.78,300,29.04,True
CUST000199,20.0,Male,43,West,PayPal,0,4.0,14.46,341,50.99,True
CUST000200,56.0,Female,5,South,PayPal,1,7.0,18.39,4,47.69,False
CUST000201,43.0,Female,35,East,Debit Card,2,6.0,10.07,123,48.89,False
CUST000202,25.0,Male,13,North,PayPal,0,10.0,8.33,42,53.53,False
CUST000203,44.0,Female,10,North,Credit Card,3,6.0,18.4,169,44.77,False
CUST000204,26.0,Male,11,South,Debit Card,1,4.0,15.38,280,37.52,False
CUST000205,43.0,Female,18,East,PayPal,1,2.0,6.58,225,33.34,True
CUST000206,50.0,Female,34,West,PayPal,7,5.0,11.12,185,41.84,True
CUST000207,68.0,Female,39,South,Debit Card,1,3.0,15.11,323,44.93,True
CUST000208,59.0,Male,41,East,PayPal,1,3.0,13.62,11,44.68,True
CUST000209,61.0,Female,42,North,PayPal,0,4.0,14.28,173,51.03,False
CUST000210,41.0,Female,50,West,Debit Card,5,5.0,13.51,96,47.33,True
CUST000211,32.0,Male,23,East,PayPal,1,2.0,16.97,278,38.52,True
CUST000212,49.0,Female,7,West,PayPal,2,6.0,9.81,139,39.77,False
CUST000213,49.0,Male,59,East,PayPal,0,6.0,15.63,166,59.72,False
CUST000214,41.0,Male,39,East,PayPal,2,8.0,19.87,187,60.11,False
CUST000215,58.0,Male,3,East,Debit Card,2,2.0,10.85,86,28.13,True
CUST000216,69.0,Male,12,East,Credit Card,4,8.0,16.87,231,47.6,False
CUST000217,66.0,Male,7,West,Credit Card,2,8.0,8.69,138,44.33,False
CUST000218,66.0,Female,49,South,PayPal,2,4.0,9.23,19,48.58,False
CUST000219,69.0,Male,26,West,PayPal,2,7.0,19.02,338,53.58,True
CUST000220,29.0,Male,33,East,Credit Card,0,6.0,5.39,156,49.57,False
CUST000221,56.0,Male,37,West,PayPal,5,6.0,8.26,95,30.47,True
CUST000222,19.0,Male,48,West,Credit Card,1,1.0,12.24,17,42.66,True
CUST000223,20.0,Female,15,West,Debit Card,6,8.0,11.03,280,42.16,True
CUST000224,66.0,Male,2,East,Debit Card,3,1.0,14.44,261,26.38,True
CUST000225,54.0,Female,41,West,Debit Card,3,3.0,7.89,160,39.09,True
CUST000226,66.0,Male,7,North,Debit Card,2,6.0,6.06,309,38.41,True
CUST000227,34.0,Female,32,East,Debit Card,1,8.0,10.54,81,53.02,False
CUST000228,66.0,Male,4,West,Debit Card,5,5.0,12.87,185,34.1,True
CUST000229,19.0,Male,20,North,Credit Card,0,5.0,13.43,213,45.2,False
CUST000230,19.0,Female,50,West,PayPal,2,4.0,14.02,342,49.79,True
CUST000231,45.0,Male,53,South,Credit Card,3,4.0,13.23,359,49.58,True
CUST000232,40.0,Female,36,West,Debit Card,1,7.0,8.69,167,51.2,False
CUST000233,54.0,Male,32,West,PayPal,2,6.0,16.47,206,49.69,False
CUST000234,49.0,Female,28,South,PayPal,1,8.0,6.32,336,48.5,True
CUST000235,43.0,Male,13,East,Debit Card,2,6.0,7.98,261,40.59,False
CUST000236,18.0,Male,1,South,Debit Card,1,10.0,16.09,274,51.99,False
CUST000237,43.0,Female,56,East,Debit Card,1,7.0,9.2,236,56.99,False
CUST000238,19.0,Male,35,South,Debit Card,4,10.0,12.4,243,56.96,False
CUST000239,43.0,Male,48,West,Debit Card,3,10.0,9.91,220,61.61,False
CUST000240,43.0,Male,30,West,Debit Card,3,5.0,12.6,347,45.31,True
CUST000241,43.0,Male,54,East,PayPal,1,6.0,10.2,70,53.56,False
CUST000242,43.0,Male,36,East,Debit Card,1,1.0,19.91,213,41.69,True
CUST000243,49.0,Male,57,North,Debit Card,3,6.0,10.36,337,47.14,True
CUST000244,21.0,Female,55,North,PayPal,5,8.0,14.41,287,59.3,True
CUST000245,28.0,Female,25,West,Credit Card,1,3.0,18.33,226,42.15,True
CUST000246,34.0,Female,16,West,Debit Card,5,1.0,14.57,269,29.96,True
CUST000247,55.0,Male,58,North,PayPal,1,3.0,13.49,279,49.09,True
CUST000248,41.0,Female,19,North,PayPal,2,4.0,13.54,249,41.22,False
CUST000249,22.0,Male,1,East,Credit Card,2,8.0,12.45,321,43.84,True
CUST000250,69.0,Male,5,South,Debit Card,1,9.0,17.11,196,52.92,False
CUST000251,51.0,Male,51,East,Debit Card,2,4.0,5.76,30,45.32,False
CUST000252,23.0,Male,22,North,Debit Card,2,7.0,18.28,303,50.53,True
CUST000253,39.0,Female,24,West,PayPal,2,1.0,13.79,131,34.06,True
CUST000254,28.0,Male,43,North,Debit Card,2,9.0,17.73,12,60.33,False
CUST000255,65.0,Female,45,West,Debit Card,3,4.0,5.16,16,40.72,False
CUST000256,33.0,Male,52,West,Debit Card,0,9.0,18.04,117,67.63,False
CUST000257,50.0,Female,37,West,Debit Card,4,3.0,6.8,149,38.19,True
CUST000258,26.0,Female,53,West,Credit Card,1,5.0,15.82,109,55.72,False
CUST000259,23.0,Female,36,South,Credit Card,0,1.0,11.25,236,37.67,True
CUST000260,33.0,Female,36,North,Credit Card,1,3.0,15.22,314,45.19,True
CUST000261,43.0,Female,4,East,Debit Card,0,5.0,14.42,5,39.92,False
CUST000262,43.0,Female,36,West,Debit Card,1,6.0,7.45,180,48.73,False
CUST000263,37.0,Male,52,West,PayPal,1,8.0,12.72,337,61.89,True
CUST000264,53.0,Female,53,East,PayPal,2,1.0,9.16,1,40.95,True
CUST000265,36.0,Male,18,East,PayPal,2,3.0,13.41,8,38.67,True
CUST000266,43.0,Female,50,West,Debit Card,0,6.0,16.07,144,45.39,True
CUST000267,20.0,Male,16,East,Credit Card,2,5.0,6.22,143,37.79,False
CUST000268,36.0,Female,41,East,Credit Card,2,8.0,12.74,275,56.34,False
CUST000269,37.0,Female,18,South,Credit Card,3,4.0,14.26,153,37.59,False
CUST000270,49.0,Male,22,East,Debit Card,5,9.0,9.43,287,47.41,True
CUST000271,24.0,Female,2,North,Credit Card,2,6.0,19.3,130,42.53,False
CUST000272,69.0,Female,21,North,PayPal,1,6.0,12.8,121,46.22,False
CUST000273,58.0,Female,36,North,PayPal,2,5.0,7.74,59,45.04,False
CUST000274,50.0,Male,44,West,Credit Card,0,10.0,6.62,217,60.03,False
CUST000275,57.0,Female,39,North,PayPal,5,5.0,13.12,31,43.61,True
CUST000276,56.0,Male,47,South,Credit Card,1,7.0,10.63,244,56.85,False
CUST000277,35.0,Female,39,North,Credit Card,1,8.0,7.89,140,52.44,False
CUST000278,57.0,Female,29,West,PayPal,1,7.0,5.46,213,48.35,False
CUST000279,18.0,Male,54,South,PayPal,2,1.0,13.5,29,42.68,True
CUST000280,28.0,Female,26,North,PayPal,1,1.0,13.98,164,36.25,True
CUST000281,45.0,Female,21,South,PayPal,3,10.0,7.13,104,52.82,False
CUST000282,42.0,Male,17,South,Credit Card,4,6.0,14.03,63,42.18,False
CUST000283,67.0,Female,16,West,PayPal,2,3.0,19.28,15,40.17,True
CUST000284,43.0,Male,31,West,PayPal,2,9.0,19.67,286,59.29,False
CUST000285,48.0,Male,51,South,Debit Card,2,7.0,18.33,179,59.46,False
CUST000286,47.0,Male,9,North,PayPal,2,2.0,17.11,11,33.62,True
CUST000287,59.0,Female,31,West,PayPal,1,3.0,8.14,13,40.37,True
CUST000288,52.0,Male,14,South,Credit Card,2,8.0,7.35,215,44.74,False
CUST000289,24.0,Male,49,East,Credit Card,2,1.0,11.67,311,39.5,True
CUST000290,33.0,Female,37,East,Debit Card,2,5.0,14.29,226,48.42,False
CUST000291,43.0,Male,2,West,PayPal,5,10.0,17.76,63,48.67,True
CUST000292,65.0,Female,52,North,PayPal,2,1.0,8.48,255,38.12,True
CUST000293,69.0,Female,48,East,PayPal,3,6.0,12.19,130,59.38,False
CUST000294,43.0,Female,46,East,PayPal,0,7.0,14.71,263,57.43,False
CUST000295,19.0,Female,14,East,PayPal,2,5.0,11.68,171,40.77,False
CUST000296,18.0,Male,59,North,PayPal,2,6.0,11.81,190,54.4,False
CUST000297,65.0,Male,33,North,Debit Card,1,6.0,8.38,284,42.32,True
CUST000298,29.0,Male,35,West,PayPal,2,3.0,19.8,25,45.16,True
CUST000299,22.0,Male,58,West,PayPal,1,7.0,12.13,160,58.9,False
CUST000300,54.0,Male,39,East,PayPal,2,7.0,12.99,217,53.01,False
CUST000301,49.0,Female,58,North,Debit Card,4,7.0,8.28,176,54.8,False
CUST000302,26.0,Male,47,South,PayPal,3,6.0,12.71,336,42.75,True
CUST000303,58.0,Male,51,East,Debit Card,1,2.0,8.83,221,43.24,True
CUST000304,52.0,Male,20,West,Credit Card,3,6.0,8.04,280,37.48,False
CUST000305,43.0,Female,2,North,PayPal,3,4.0,9.14,81,30.36,False
CUST000306,65.0,Female,51,West,Debit Card,4,7.0,5.04,125,50.81,False
CUST000307,33.0,Male,41,West,Credit Card,3,3.0,13.55,170,43.96,True
CUST000308,20.0,Female,19,North,Debit Card,1,5.0,10.81,70,43.52,False
CUST000309,37.0,Male,59,East,Debit Card,2,2.0,18.48,78,49.71,True
CUST000310,41.0,Male,37,North,Credit Card,2,6.0,5.61,90,34.97,True
CUST000311,50.0,Female,18,East,PayPal,2,9.0,5.65,348,50.24,True
CUST000312,41.0,Female,16,West,PayPal,3,4.0,18.29,111,41.54,False
CUST000313,69.0,Male,4,North,Debit Card,2,8.0,6.9,164,43.17,False
CUST000314,28.0,Male,12,South,Credit Card,0,7.0,5.03,128,42.81,False
CUST000315,66.0,Female,29,East,PayPal,1,1.0,7.68,155,34.8,True
CUST000316,25.0,Male,7,South,Debit Card,1,10.0,17.36,194,55.04,False
CUST000317,53.0,Female,14,East,Credit Card,1,7.0,17.04,173,49.67,False
CUST000318,55.0,Male,55,North,Debit Card,1,2.0,10.1,300,46.61,True
CUST000319,57.0,Female,12,South,Credit Card,3,3.0,15.02,313,35.37,True
CUST000320,37.0,Male,35,North,PayPal,0,1.0,12.61,21,39.2,True
CUST000321,52.0,Male,5,East,PayPal,2,7.0,18.57,311,44.82,True
CUST000322,65.0,Female,17,East,Debit Card,1,3.0,5.85,109,34.03,True
CUST000323,42.0,Male,58,East,PayPal,2,6.0,17.2,360,58.81,True
CUST000324,52.0,Male,42,East,PayPal,1,7.0,7.56,129,52.96,False
CUST000325,42.0,Female,32,West,Credit Card,1,6.0,10.87,280,41.58,True
CUST000326,46.0,Male,10,East,PayPal,1,2.0,7.88,27,31.7,True
CUST000327,35.0,Male,43,South,Credit Card,2,9.0,15.54,344,61.64,True
CUST000328,63.0,Male,17,East,Credit Card,2,9.0,15.17,92,52.72,False
CUST000329,35.0,Female,5,North,Debit Card,2,7.0,13.22,295,42.36,False
CUST000330,19.0,Female,45,West,Credit Card,2,5.0,15.47,55,51.72,False
CUST000331,52.0,Female,42,South,PayPal,1,4.0,14.59,196,50.94,False
CUST000332,43.0,Male,9,West,Credit Card,1,6.0,16.65,221,40.15,False
CUST000333,58.0,Male,49,West,Credit Card,2,1.0,8.59,301,38.8,True
CUST000334,53.0,Male,33,West,Debit Card,2,4.0,11.43,156,43.75,False
CUST000335,50.0,Male,36,North,PayPal,3,7.0,7.27,101,48.93,False
CUST000336,21.0,Female,36,West,PayPal,2,5.0,11.44,236,47.2,False
CUST000337,50.0,Male,18,West,PayPal,1,9.0,15.53,285,55.84,False
CUST000338,31.0,Male,9,East,Credit Card,2,4.0,15.37,69,38.37,False
CUST000339,38.0,Male,57,North,PayPal,2,3.0,15.64,267,51.35,True
CUST000340,65.0,Female,29,South,PayPal,2,6.0,9.63,138,46.35,False
